Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727208608,0,
1642727208597,,2045.71435546875
1642727208514,0,
1642727208499,,2102.85693359375
1642727208487,0,
1642727208480,,2125.71435546875
1642727208392,0,
1642727208386,,2160
1642727208371,0,
1642727208364,,2177.142578125
1642727208274,0,
1642727208262,,2217.142578125
1642727208237,0,
1642727208219,,2217.142578125
1642727208099,10.28125,
1642727208093,,2222.85693359375
1642727208083,8.6875,
1642727208077,,2222.85693359375
1642727207983,7.34375,
1642727207976,,2228.5712890625
1642727207967,7.84375,
1642727207961,,2228.5712890625
1642727207869,9.875,
1642727207862,,2222.85693359375
1642727207852,9.875,
1642727207846,,2222.85693359375
1642727207753,8.875,
1642727207746,,2222.85693359375
1642727207737,8.375,
1642727207730,,2222.85693359375
1642727207639,8.53125,
1642727207632,,2222.85693359375
1642727207621,8.375,
1642727207615,,2222.85693359375
1642727207517,8.03125,
1642727207511,,2222.85693359375
1642727207502,8.96875,
1642727207496,,2228.5712890625
1642727207401,11.1875,
1642727207395,,2228.5712890625
1642727207386,7.09375,
1642727207379,,2228.5712890625
1642727207288,7.5,
1642727207281,,2228.5712890625
1642727207271,7.5,
1642727207265,,2228.5712890625
1642727207166,8.03125,
1642727207159,,2228.5712890625
1642727207149,8.34375,
1642727207143,,2228.5712890625
1642727207047,7.53125,
1642727207040,,2234.28564453125
1642727207023,8.4375,
1642727207016,,2234.28564453125
1642727206928,7.40625,
1642727206921,,2245.71435546875
1642727206906,7.96875,
1642727206899,,2245.71435546875
1642727206814,7.5,
1642727206808,,2257.14306640625
1642727206791,9.375,
1642727206784,,2262.857421875
1642727206696,8.8125,
1642727206689,,2274.2861328125
1642727206673,7.8125,
1642727206666,,2274.2861328125
1642727206571,5.34375,
1642727206564,,2308.572265625
1642727206552,5.34375,
1642727206536,,2308.572265625
1642727206366,8.0625,
1642727206360,,2342.857421875
1642727206350,7,
1642727206344,,2342.857421875
1642727206250,5,
1642727206241,,2365.71435546875
1642727206217,7.03125,
1642727206192,,2382.857177734375
1642727206102,6.71875,
1642727206096,,2405.71435546875
1642727206074,5.09375,
1642727206063,,2417.142822265625
1642727205983,6.46875,
1642727205976,,2440
1642727205955,6.46875,
1642727205948,,2440
1642727205854,4.6875,
1642727205845,,2474.28564453125
1642727205820,4.59375,
1642727205796,,2485.71435546875
1642727205701,6.125,
1642727205694,,2525.71435546875
1642727205683,6.125,
1642727205674,,2525.71435546875
1642727205548,5.4375,
1642727205537,,2571.4287109375
1642727205510,6.59375,
1642727205496,,2571.4287109375
1642727205410,4.625,
1642727205401,,2617.1435546875
1642727205376,4.625,
1642727205352,,2617.1435546875
1642727205199,4.9375,
1642727205191,,2657.14404296875
1642727205179,4.9375,
1642727205170,,2657.14404296875
1642727205015,4.8125,
1642727205006,,2725.71435546875
1642727204985,4.8125,
1642727204971,,2725.71435546875
1642727204834,5.09375,
1642727204824,,2777.142333984375
1642727204791,5.375,
1642727204777,,2782.8564453125
1642727204670,4.875,
1642727204654,,2822.85693359375
1642727204621,3.28125,
1642727204602,,2845.7138671875
1642727204513,5.53125,
1642727204501,,2885.71435546875
1642727204472,5.53125,
1642727204455,,2885.71435546875
1642727204332,4.21875,
1642727204324,,2937.1435546875
1642727204311,1.9375,
1642727204304,,2937.1435546875
1642727204200,5.34375,
