Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1642729983704,10.4375
1642729983679,,4337.1435546875
1642729983667,,,12.09375
1642729983660,11.03125,,
1642729983652,,4337.1435546875,
1642729983548,8.46875,,
1642729983541,,4331.42919921875,
1642729983530,,,12.1640625
1642729983522,9.625,,
1642729983515,,4331.4296875,
1642729983421,8.40625,,
1642729983413,,4331.4287109375,
1642729983402,,,12.2890625
1642729983394,7.46875,,
1642729983387,,4331.42822265625,
1642729983291,10.21875,,
1642729983283,,4331.42919921875,
1642729983272,,,12.2421875
1642729983265,6.4375,,
1642729983257,,4325.7138671875,
1642729983163,11,,
1642729983155,,4325.71435546875,
1642729983144,,,12.2265625
1642729983137,7.59375,,
1642729983129,,4325.71435546875,
1642729983039,7.5,,
1642729983031,,4325.71484375,
1642729983020,,,12.2578125
1642729983012,8.53125,,
1642729983005,,4325.71484375,
1642729982912,8.03125,,
1642729982904,,4325.71484375,
1642729982892,,,12.2421875
1642729982885,7.1875,,
1642729982877,,4325.71435546875,
1642729982789,10.125,,
1642729982781,,4325.71435546875,
1642729982764,,,12.203125
1642729982757,8.84375,,
1642729982749,,4325.71337890625,
1642729982674,7.875,,
1642729982666,,4325.7138671875,
1642729982641,,,12.2734375
1642729982634,6.96875,,
1642729982627,,4325.71435546875,
1642729982554,7.96875,,
1642729982546,,4320.00048828125,
1642729982515,,,12.234375
1642729982507,8.40625,,
1642729982499,,4325.71533203125,
1642729982400,7.40625,,
1642729982392,,4320.00048828125,
1642729982381,,,12.3203125
1642729982373,7.53125,,
1642729982366,,4320.0009765625,
1642729982275,6.46875,,
1642729982268,,4320.00048828125,
1642729982257,,,12.125
1642729982250,10.8125,,
1642729982242,,4320.0009765625,
1642729982149,7.84375,,
1642729982142,,4320.00048828125,
1642729982131,,,12.28125
1642729982124,7.5625,,
1642729982116,,4320.00048828125,
1642729982020,8.875,,
1642729982013,,4320.0009765625,
1642729982001,,,12.28125
1642729981994,8.1875,,
1642729981987,,4320.00146484375,
1642729981896,7.65625,,
1642729981889,,4314.28759765625,
1642729981877,,,12.328125
1642729981870,7.90625,,
1642729981861,,4314.2880859375,
1642729981769,7.4375,,
1642729981761,,4314.28662109375,
1642729981750,,,12.2578125
