Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1642730384911,,4079.9990234375,
1642730384900,,,12.1875
1642730384893,7.96875,,
1642730384886,,4079.9990234375,
1642730384795,11.75,,
1642730384788,,4074.28466796875,
1642730384776,,,12.25
1642730384769,7.375,,
1642730384762,,4079.99853515625,
1642730384669,9.71875,,
1642730384661,,4074.28466796875,
1642730384650,,,12.046875
1642730384643,11.8125,,
1642730384636,,4074.28466796875,
1642730384537,8.3125,,
1642730384530,,4074.28466796875,
1642730384518,,,12.078125
1642730384512,11.625,,
1642730384504,,4074.28466796875,
1642730384413,10.375,,
1642730384406,,4079.9990234375,
1642730384395,,,12.1640625
1642730384388,9.25,,
1642730384380,,4079.9990234375,
1642730384287,10.71875,,
1642730384279,,4079.9990234375,
1642730384268,,,12.2421875
1642730384261,7.1875,,
1642730384253,,4085.712890625,
1642730384169,9.09375,,
1642730384161,,4079.9990234375,
1642730384139,,,12.0625
1642730384131,10.9375,,
1642730384123,,4085.71337890625,
1642730384051,8.71875,,
1642730384044,,4085.71337890625,
1642730384012,,,12.234375
1642730384005,8.34375,,
1642730383997,,4079.99951171875,
1642730383923,7.875,,
1642730383896,,4079.9990234375,
1642730383884,,,12.2109375
1642730383877,8.375,,
1642730383869,,4079.9990234375,
1642730383779,7.4375,,
1642730383771,,4079.99853515625,
1642730383760,,,12.1875
1642730383753,7.78125,,
1642730383745,,4079.99951171875,
1642730383653,8.125,,
1642730383645,,4079.9990234375,
1642730383634,,,12.0625
1642730383627,12.28125,,
1642730383619,,4079.9990234375,
1642730383524,10.75,,
1642730383516,,4079.99951171875,
1642730383505,,,12.2109375
1642730383498,8.5625,,
1642730383490,,4079.99853515625,
1642730383396,7.40625,,
1642730383389,,4074.28466796875,
1642730383377,,,12.1953125
1642730383370,8.71875,,
1642730383363,,4079.9990234375,
1642730383267,7.53125,,
1642730383259,,4074.28466796875,
1642730383248,,,12.1484375
1642730383241,8.75,,
1642730383233,,4074.28466796875,
1642730383143,10.375,,
1642730383135,,4074.28466796875,
1642730383124,,,12.1796875
1642730383117,8.78125,,
1642730383109,,4068.56982421875,
1642730383014,11.40625,,
1642730383006,,4062.85595703125,
1642730382994,,,12.234375
1642730382987,7.84375,,
1642730382979,,4062.85595703125,
1642730382887,9.96875,,
1642730382879,,4045.712890625,
1642730382868,,,12.0546875
1642730382861,11.375,,
1642730382853,,4039.99853515625,
1642730382763,8.625,,
1642730382755,,4011.42724609375,
1642730382744,,,12.0859375
1642730382737,11.84375,,
1642730382729,,4011.42724609375,
1642730382638,9.3125,,
1642730382629,,3982.857421875,
1642730382618,,,12.0078125
1642730382611,11.90625,,
1642730382603,,3971.4287109375,
1642730382513,11.4375,,
1642730382505,,3920.00146484375,
1642730382494,,,11.9765625
1642730382487,13.125,,
1642730382479,,3902.85791015625,
1642730382387,11.21875,,
1642730382379,,3839.99951171875,
1642730382368,,,11.984375
1642730382361,14.09375,,
1642730382354,,3805.71484375,
1642730382257,17.21875,,
1642730382249,,3668.57177734375,
1642730382238,,,11.65625
1642730382230,20.9375,,
1642730382223,,3668.57177734375,
1642730382132,22,,
1642730382124,,3725.71435546875,
1642730382113,,,11.640625
1642730382105,22.625,,
1642730382098,,3771.427734375,
1642730382001,29,,
1642730381994,,4017.14208984375,
1642730381982,,,11.078125
1642730381975,38.34375,,
1642730381968,,4017.14208984375,
1642730381878,7.34375,,
1642730381870,,4068.5703125,
1642730381858,,,12.171875
1642730381851,9.625,,
1642730381844,,4068.5703125,
1642730381758,8.1875,,
1642730381750,,4062.85546875,
1642730381735,,,12.171875
1642730381728,11.90625,,
1642730381720,,4062.85546875,
1642730381640,8,,
1642730381631,,4068.5703125,
1642730381608,,,12.2109375
1642730381601,9.1875,,
1642730381594,,4068.5703125,
1642730381524,10.5,,
1642730381516,,4068.5703125,
1642730381485,,,12.2421875
1642730381478,8.5,,
1642730381470,,4068.5703125,
1642730381395,7.53125,,
1642730381369,,4068.5703125,
1642730381356,,,12.2265625
1642730381349,8.5625,,
1642730381342,,4068.5703125,
1642730381252,7.375,,
1642730381244,,4074.28515625,
1642730381233,,,12.140625
1642730381225,10.8125,,
1642730381218,,4074.28515625,
1642730381127,7.375,,
1642730381120,,4074.2841796875,
1642730381109,,,12.3203125
1642730381101,6.46875,,
1642730381094,,4079.99853515625,
1642730380998,8.21875,,
1642730380990,,4079.99853515625,
1642730380978,,,12.3125
1642730380971,7.53125,,
1642730380964,,4079.99853515625,
1642730380871,9.03125,,
1642730380864,,4079.9990234375,
1642730380852,,,12.171875
1642730380845,10.75,,
1642730380838,,4079.9990234375,
1642730380749,7.59375,,
1642730380741,,4085.71337890625,
1642730380729,,,12.21875
1642730380721,7.3125,,
1642730380714,,4085.71337890625,
1642730380621,10.21875,,
1642730380614,,4085.712890625,
1642730380602,,,12.296875
1642730380595,6.375,,
1642730380588,,4085.7138671875,
1642730380492,8.90625,,
1642730380485,,4085.71337890625,
1642730380473,,,12.28125
1642730380465,7.75,,
1642730380458,,4085.71337890625,
1642730380359,6.78125,,
1642730380352,,4085.712890625,
1642730380340,,,12.1875
1642730380333,9.59375,,
1642730380326,,4091.42822265625,
1642730380236,10.1875,,
1642730380228,,4085.71337890625,
1642730380217,,,12.296875
1642730380209,8.09375,,
1642730380202,,4091.427734375,
1642730380112,9.375,,
1642730380104,,4085.712890625,
1642730380093,,,12.2265625
1642730380085,8.09375,,
1642730380078,,4085.71337890625,
1642730379981,8.21875,,
1642730379974,,4085.71337890625,
1642730379962,,,12.1640625
1642730379955,10.78125,,
1642730379948,,4079.99951171875,
1642730379856,7.03125,,
1642730379848,,4085.712890625,
1642730379836,,,12.265625
1642730379829,7.96875,,
1642730379822,,4085.71337890625,
1642730379731,10.5625,,
1642730379724,,4085.7138671875,
1642730379712,,,12.265625
1642730379705,7.53125,,
1642730379698,,4085.712890625,
1642730379606,9.375,,
1642730379598,,4085.71337890625,
1642730379587,,,12.1640625
1642730379580,10.0625,,
1642730379572,,4085.7138671875,
1642730379476,7.21875,,
1642730379468,,4085.7138671875,
1642730379456,,,12.09375
1642730379449,11.53125,,
1642730379441,,4091.42724609375,
1642730379346,9,,
1642730379339,,4091.427734375,
1642730379327,,,12.2578125
1642730379320,7.8125,,
1642730379313,,4091.427734375,
1642730379221,7.4375,,
1642730379213,,4085.71337890625,
1642730379202,,,12.234375
1642730379195,6.8125,,
1642730379187,,4085.71337890625,
1642730379097,7.875,,
1642730379089,,4085.7138671875,
1642730379078,,,12.078125
1642730379071,11.125,,
1642730379062,,4085.7138671875,
1642730378959,8.53125,,
1642730378952,,4085.7138671875,
1642730378940,,,12.2421875
1642730378933,7.9375,,
1642730378925,,4091.42724609375,
1642730378833,8.3125,,
1642730378825,,4091.427734375,
1642730378814,,,12.203125
1642730378807,8.15625,,
1642730378799,,4085.71337890625,
1642730378709,8.46875,,
1642730378700,,4085.71337890625,
1642730378688,,,12.203125
1642730378681,8.71875,,
1642730378672,,4079.99951171875,
1642730378582,11.40625,,
1642730378574,,4079.9990234375,
1642730378563,,,12.1796875
1642730378556,8.375,,
1642730378548,,4079.9990234375,
1642730378456,9.71875,,
1642730378449,,4079.99951171875,
1642730378437,,,12.1953125
1642730378430,8.375,,
1642730378423,,4079.99853515625,
1642730378326,8.28125,,
1642730378318,,4074.28466796875,
1642730378307,,,12.1171875
1642730378300,11.25,,
1642730378292,,4079.9990234375,
1642730378197,7.75,,
1642730378190,,4074.28466796875,
1642730378178,,,12.1796875
1642730378171,8.78125,,
1642730378163,,4074.28466796875,
1642730378071,11.1875,,
1642730378063,,4074.28466796875,
1642730378053,,,12.2265625
1642730378045,8.1875,,
1642730378038,,4074.28466796875,
1642730377943,8.4375,,
1642730377935,,4074.28466796875,
1642730377924,,,12.203125
1642730377917,9,,
1642730377909,,4074.28466796875,
1642730377816,8.15625,,
1642730377809,,4074.28466796875,
1642730377797,,,12.1171875
1642730377790,11.90625,,
1642730377783,,4074.28466796875,
1642730377686,9.125,,
1642730377678,,4074.28466796875,
1642730377664,,,12.1953125
1642730377657,8.03125,,
1642730377649,,4074.28466796875,
1642730377557,8.1875,,
1642730377549,,4074.28466796875,
1642730377538,,,12.21875
1642730377531,8.125,,
1642730377523,,4074.28515625,
1642730377428,8.15625,,
1642730377420,,4068.5703125,
1642730377409,,,12.2578125
1642730377402,8.78125,,
1642730377394,,4074.28466796875,
1642730377300,10.65625,,
1642730377293,,4074.28466796875,
1642730377281,,,12.28125
1642730377274,8.65625,,
1642730377267,,4074.28515625,
1642730377174,10.46875,,
1642730377167,,4079.99853515625,
1642730377156,,,12.3046875
1642730377148,8.15625,,
1642730377140,,4074.28466796875,
1642730377044,8.34375,,
1642730377036,,4074.28515625,
1642730377025,,,12.125
1642730377018,11.03125,,
1642730377010,,4074.28515625,
1642730376916,7.21875,,
1642730376909,,4068.5703125,
1642730376897,,,12.203125
1642730376891,8.40625,,
1642730376883,,4068.5703125,
1642730376790,10.125,,
1642730376783,,4074.28466796875,
1642730376771,,,12.28125
1642730376765,8.46875,,
1642730376757,,4074.2841796875,
1642730376661,7.59375,,
1642730376653,,4074.28515625,
1642730376642,,,12.34375
1642730376635,6.4375,,
1642730376627,,4074.28515625,
1642730376534,6.8125,,
1642730376526,,4074.28466796875,
1642730376514,,,12.1640625
1642730376507,10.71875,,
1642730376500,,4074.28466796875,
1642730376407,7.59375,,
1642730376400,,4079.9990234375,
1642730376388,,,12.296875
1642730376381,7.40625,,
1642730376374,,4074.2841796875,
1642730376277,8.65625,,
1642730376269,,4074.2841796875,
1642730376258,,,12.328125
1642730376251,7.40625,,
1642730376244,,4074.28515625,
1642730376153,8.28125,,
1642730376146,,4074.28466796875,
1642730376135,,,12.359375
1642730376127,7.0625,,
1642730376120,,4074.28466796875,
1642730376025,9.15625,,
1642730376018,,4079.99853515625,
1642730376007,,,12.1953125
1642730375999,9.65625,,
1642730375990,,4079.99951171875,
1642730375901,11.9375,,
1642730375893,,4079.9990234375,
1642730375882,,,12.203125
1642730375874,9.15625,,
1642730375866,,4079.9990234375,
1642730375781,9.125,,
1642730375774,,4079.99951171875,
1642730375750,,,12.1875
1642730375743,9.40625,,
1642730375736,,4079.99853515625,
1642730375660,7.40625,,
1642730375635,,4079.9990234375,
1642730375622,,,12.125
1642730375615,9.8125,,
1642730375608,,4079.9990234375,
1642730375517,9.28125,,
1642730375510,,4074.28515625,
1642730375498,,,12.171875
1642730375491,9.59375,,
1642730375483,,4079.99853515625,
1642730375383,9.5,,
1642730375376,,4068.5703125,
1642730375364,,,12.2890625
1642730375357,7.5,,
1642730375350,,4068.5703125,
1642730375257,8.6875,,
1642730375249,,4057.14111328125,
1642730375238,,,12.1640625
1642730375231,10.4375,,
1642730375224,,4057.14111328125,
1642730375133,9.40625,,
1642730375126,,4051.42724609375,
1642730375114,,,12.09375
1642730375107,11.9375,,
1642730375100,,4045.712890625,
1642730374997,10.90625,,
1642730374988,,4022.85546875,
1642730374976,,,12.09375
1642730374966,10.3125,,
1642730374949,,4022.8564453125,
1642730374809,9.9375,,
1642730374801,,4005.7138671875,
1642730374790,,,12.140625
1642730374783,10.28125,,
1642730374775,,4005.71435546875,
1642730374678,9.6875,,
1642730374670,,3994.2861328125,
1642730374659,,,12.03125
1642730374652,11.6875,,
1642730374644,,3994.28564453125,
1642730374555,10.125,,
1642730374547,,3982.8583984375,
1642730374535,,,12.109375
1642730374527,9.875,,
1642730374511,,3977.1435546875,
1642730374419,10.0625,,
1642730374411,,3971.43017578125,
1642730374400,,,12.140625
1642730374393,10.0625,,
1642730374385,,3965.71630859375,
1642730374291,9.5,,
1642730374284,,3954.287109375,
1642730374272,,,12.1484375
1642730374265,9,,
1642730374257,,3948.57275390625,
1642730374165,10.875,,
1642730374157,,3937.14404296875,
1642730374140,,,12.0390625
1642730374119,11.375,,
1642730374091,,3931.43017578125,
1642730373984,12.34375,,
1642730373976,,3925.71533203125,
1642730373964,,,12.15625
1642730373957,7.875,,
1642730373949,,3925.71533203125,
1642730373862,8.8125,,
1642730373855,,3908.572265625,
1642730373832,,,12.1796875
1642730373824,8.1875,,
1642730373817,,3902.85791015625,
1642730373725,12.78125,,
1642730373717,,3891.42919921875,
1642730373706,,,12.109375
1642730373698,9.96875,,
1642730373687,,3891.42919921875,
1642730373596,7.84375,,
1642730373588,,3885.71533203125,
1642730373575,,,12.109375
1642730373568,11.28125,,
1642730373561,,3885.71533203125,
1642730373470,9.15625,,
1642730373463,,3880.00048828125,
1642730373452,,,12.125
1642730373444,10.34375,,
1642730373437,,3874.2861328125,
1642730373345,9.96875,,
1642730373337,,3862.85791015625,
1642730373321,,,12.234375
1642730373299,9.28125,,
1642730373270,,3862.85693359375,
1642730373179,8.125,,
1642730373172,,3862.85791015625,
1642730373160,,,12.21875
1642730373153,8.78125,,
1642730373146,,3862.85791015625,
1642730373048,8.40625,,
1642730373041,,3862.857421875,
1642730373028,,,12.1953125
1642730373021,9.1875,,
1642730373014,,3862.85693359375,
1642730372923,7.78125,,
1642730372916,,3862.85791015625,
1642730372904,,,12.1328125
1642730372897,10.0625,,
1642730372890,,3862.85791015625,
1642730372799,8.15625,,
