Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current
1642726464051,4565.71484375,
1642726464044,,7.65625
1642726464034,,6.9375
1642726464027,4565.71484375,
1642726463934,4565.71533203125,
1642726463926,,7.375
1642726463917,,5.625
1642726463910,4560,
1642726463816,4565.71484375,
1642726463809,,5.5
1642726463799,,8.4375
1642726463792,4565.71484375,
1642726463694,4565.7158203125,
1642726463687,,6.28125
1642726463678,,9.75
1642726463671,4565.7158203125,
1642726463578,4571.4296875,
1642726463572,,6.15625
1642726463562,,7.75
1642726463555,4571.4296875,
1642726463460,4571.42919921875,
1642726463453,,5.90625
1642726463438,,7.03125
1642726463432,4571.42919921875,
1642726463345,4565.71484375,
1642726463338,,8.21875
1642726463323,,6.46875
1642726463317,4565.71484375,
1642726463229,4565.71484375,
1642726463223,,6.5625
1642726463208,,8.96875
1642726463201,4565.7158203125,
1642726463113,4565.71533203125,
1642726463107,,7.5
1642726463084,,7.59375
1642726463077,4565.71533203125,
1642726462993,4560.0009765625,
1642726462985,,7.5
1642726462963,,7.90625
1642726462956,4554.2861328125,
1642726462878,4548.5712890625,
1642726462872,,9.03125
1642726462849,,7.28125
1642726462842,4548.572265625,
1642726462758,4537.142578125,
1642726462752,,9.71875
1642726462727,,7.75
1642726462720,4537.142578125,
1642726462636,4525.7138671875,
1642726462623,,8.03125
1642726462612,,8.375
1642726462605,4525.7138671875,
1642726462510,4502.8564453125,
1642726462503,,6.875
1642726462492,,9.34375
1642726462486,4497.14306640625,
1642726462393,4474.28662109375,
1642726462386,,9.875
1642726462377,,9.96875
1642726462370,4457.14306640625,
1642726462277,4422.857421875,
1642726462271,,10.25
1642726462261,,10.03125
1642726462254,4405.71484375,
1642726462156,4348.5712890625,
1642726462149,,12.65625
1642726462140,,12.71875
1642726462133,4331.4296875,
1642726462036,4245.71484375,
1642726462029,,17.34375
1642726462020,,14.65625
